Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
17,0,18,16,0,0,16,16,0,17
0,14,16,16,0,0,15,14,11,14
0,0,16,17,17,17,17,16,0,0
2,2,16,16,21,11,2,12,12,6
1,16,16,1,16,1,21,6,16,6
17,3,17,3,17,3,17,3,17,3
1,1,16,16,16,16,1,16,16,1
17,17,17,0,17,0,0,17,15,0
9,13,11,16,13,1,16,1,19,1
19,13,3,9,15,5,14,8,9,5
100,0,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10,10
0,1,1,1,21,21,11,17,11,16
4,13,12,9,7,8,13,8,11,15
11,2,4,2,16,0,19,21,9,16
15,1,12,14,11,15,1,15,1,15
15,2,15,3,15,15,2,16,15,2
12,12,12,12,12,12,12,12,2,2
20,20,20,20,2,2,10,2,2,2
1,1,21,21,1,1,21,21,11,1
15,15,2,16,2,2,16,2,15,15
15,15,20,2,2,20,2,20,2,2
1,1,1,1,16,16,16,16,16,16
11,11,11,11,11,11,11,11,11,1
2,0,10,4,14,20,14,16,20,0
19,1,19,1,19,1,19,1,19,1
10,10,8,11,11,10,10,10,10,10
0,16,0,17,16,0,17,0,17,17
14,1,14,14,1,14,1,13,14,14
1,1,17,16,14,13,12,12,13,1
12,12,12,12,12,12,12,12,2,2
15,1,16,17,3,2,16,16,10,4
18,19,1,18,7,10,12,13,1,1
5,15,10,12,8,0,15,10,10,15
17,1,16,16,15,15,17,1,1,1
16,1,1,16,16,16,16,1,1,16
0,0,0,0,17,17,17,17,16,16
4,3,18,15,5,10,5,5,20,15
4,3,18,15,5,10,5,5,20,15
5,9,12,15,7,18,12,8,8,6
19,1,19,1,19,1,19,19,1,1
11,11,11,11,11,5,0,15,10,15
1,15,4,10,22,16,3,2,15,12
11,15,1,15,10,11,0,12,12,13
13,14,12,13,12,4,4,17,2,9
12,12,12,12,12,12,12,7,7,2
20,0,20,0,20,0,20,0,20,0
17,1,16,1,16,15,1,16,1,16
14,14,20,5,10,5,20,10,1,1
5,0,20,5,20,5,10,30,5,0
14,9,10,1,0,14,14,10,12,16
20,15,0,10,5,20,10,15,5,0
0,20,0,13,12,20,0,20,0,15
19,1,19,1,19,1,19,1,19,1
0,0,0,0,0,20,20,20,20,20
17,16,16,11,11,6,6,9,8,0
1,16,0,17,16,16,1,16,1,16
20,6,15,4,15,5,10,4,1,20
0,0,20,0,20,20,0,20,20,0
100,0,0,0,0,0,0,0,0,0
0,20,10,19,10,10,1,10,5,15
12,15,0,11,13,14,11,13,11,0
7,7,12,7,7,12,12,12,12,12
3,2,14,17,13,13,14,7,15,2
3,3,17,17,3,3,17,3,17,17
12,6,13,19,4,16,4,15,1,10
17,1,16,16,15,15,17,1,1,1
10,10,10,10,10,10,10,10,10,10
10,0,20,10,10,10,10,0,20,10
15,15,16,15,16,15,2,2,2,2
1,1,21,18,1,6,20,9,17,6
14,8,14,8,15,7,16,6,7,5
12,11,11,11,11,11,11,11,11,0
10,10,10,10,10,10,10,10,10,10
5,10,15,5,10,15,5,10,15,10
17,3,17,3,17,3,17,3,17,3
9,10,6,0,16,8,16,16,4,15
10,10,10,10,10,10,10,10,10,10